policy,seed,opportunities,wins,clicks,conversions,spend,budget,budget_utilization,revenue,profit,roi,ctr,cvr,cpm,win_rate
Constant bid,,3000,1800,221,55,1049.9008958860277,1050.0,0.9999056151295502,1650.0,600.0991041139723,0.5715769045111057,0.12277777777777778,0.248868778280543,583.2782754922376,0.6
Value-based,,3000,1040,212,74,611.6927963336193,1050.0,0.5825645679367802,2220.0,1608.3072036663807,2.629272754732924,0.20384615384615384,0.3490566037735849,588.1661503207878,0.3466666666666667
LinUCB,42.0,3000,1479,271,87,990.188478921063,1050.0,0.9430366465914887,2610.0,1619.811521078937,1.6358618137467411,0.1832319134550372,0.3210332103321033,669.4986334828012,0.493
PPO,42.0,3000,1709,263,82,1049.8094924951592,1050.0,0.999818564281104,2460.0,1410.1905075048408,1.3432822979654504,0.15389116442363956,0.311787072243346,614.2829095934226,0.5696666666666667
LinUCB,43.0,3000,1472,250,83,1049.970990562346,1050.0,0.9999723719641391,2490.0,1440.029009437654,1.3714940911523656,0.16983695652173914,0.332,713.2955098928982,0.49066666666666664
PPO,43.0,3000,1709,263,82,1049.8094924951592,1050.0,0.999818564281104,2460.0,1410.1905075048408,1.3432822979654504,0.15389116442363956,0.311787072243346,614.2829095934226,0.5696666666666667
LinUCB,44.0,3000,1490,255,80,983.9458950375586,1050.0,0.9370913286071987,2400.0,1416.0541049624412,1.4391585066863748,0.17114093959731544,0.3137254901960784,660.3663725084285,0.49666666666666665
PPO,44.0,3000,1625,207,59,1049.9710358501466,1050.0,0.9999724150953777,1770.0,720.0289641498536,0.6857607872648186,0.12738461538461537,0.28502415458937197,646.1360220616286,0.5416666666666666
